Endpoint,N_Valid_Points,RMSE,MAE,R²,Pearson_r
zbtb11_3nM,8,1.228,1.047,0.089,0.434
zbtb11_10nM,8,1.718,1.607,-0.38,0.338
zbtb11_30nM,8,3.201,2.928,-14.967,0.435
zbtb11_100nM,8,5.03,4.237,-3.684,0.362
zbtb11_300nM,8,8.0,7.228,-33.189,0.411
zbtb11_1uM,8,10.976,9.584,-52.638,-0.384
zbtb11_3uM,8,8.928,7.919,-6.622,0.54
zbtb11_10uM,8,11.188,9.35,-5.356,0.498
zbtb11_30uM,8,8.604,7.194,0.656,0.826
zbtb11_100uM,8,18.566,16.303,0.544,0.875
ikzf1_3nM,8,6.548,4.083,-0.106,-0.436
ikzf1_10nM,8,14.869,11.201,-0.247,-0.843
ikzf1_30nM,8,27.035,22.708,-0.542,-0.828
ikzf1_100nM,8,32.448,27.536,-0.741,-0.805
ikzf1_300nM,8,34.801,29.428,-0.913,-0.785
ikzf1_1uM,8,33.175,29.041,-1.041,-0.801
ikzf1_3uM,8,33.263,28.995,-1.017,-0.765
ikzf1_10uM,8,31.169,28.013,-0.895,-0.707
ikzf1_30uM,8,31.239,28.966,-1.134,-0.607
ikzf1_100uM,8,28.022,25.386,-1.687,-0.437
